Gene Name,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
ctaG,776660,596360,510870,431540,435040,357140
CCNA_02896,23002,21705,27997,28225,37742,31435
CCNA_02337,11586000,9810000,17118000,10612000,12818000,12333000
CCNA_03244,91572,74420,90591,77215,96451,68636
CCNA_02359,208860,166710,208130,138560,160150,137100
CCNA_02379,1882000,1393600,1652000,1272900,1475800,1128900
CCNA_02983,221610,185920,105400,146500,161140,115130
CCNA_03342,553600,479680,568860,544360,658820,714160
CCNA_03050,492170,379710,460230,427210,434960,335530
CCNA_03684,560240,560700,899430,618750,721500,667470
CCNA_03096,71786,59568,74522,66887,82164,74784
CCNA_03437,140900,109960,118680,154140,174390,161000
CCNA_03245,355950,331650,347870,299410,349850,289100
glnA2,105620,91423,65536,92263,95819,74656
CCNA_03292,43855,32068,39736,53264,69576,71887
CCNA_03357,506310,442590,515750,436840,493250,490160
thiE,627470,610090,857780,618230,731240,749400
CCNA_03780,268300,212680,165290,133120,141380,136050
CCNA_03505,12503000,11315000,16792000,13360000,14793000,14503000
coxE,725920,540390,438770,388610,402210,337420
CCNA_03521,815160,690550,651330,595510,665400,618240
CCNA_03573,22394,20991,26255,20878,29127,23994
CCNA_02940,36670,27113,23094,26268,28892,23027
CCNA_03682,678400,624550,1112000,731820,809250,949580
CCNA_03168,512070,598470,452610,365030,414570,738320
CCNA_03808,4096900,3196600,2288600,2983300,3110700,2078500
CCNA_03826,726470,609180,554000,334760,361130,254520
CCNA_03815,95390,82977,77391,105200,126030,112690
CCNA_03820,541370,427340,401090,500660,563420,546130
CCNA_03491,292350,256010,305500,283440,322360,318170
bioD,550990,549620,912250,680890,722890,824520
panB,513960,506330,320850,292450,328280,298340
hisB,2069700,1693800,1344200,1234000,1314400,791700
lpxD,550170,490690,341670,378930,437270,378470
rbfA,522630,432600,416450,262930,356090,384220
ftsN,2015700,1601900,1582200,1000900,1077300,1150400
leuD,1917100,1878900,2933000,1008600,1228300,1216900
rpsJ,6342000,4680400,3688400,3028800,3491500,3135800
rpsS,5939200,5021600,3783700,4166100,4582300,2846000
rpsQ,13831000,11784000,7647300,8353100,9067300,5964800
CCNA_03385,82151,86364,151010,97344,112080,132900
nrdR,698290,558760,471330,498710,560700,427140
nusB,1220200,1025800,1724800,1082200,1213000,1287400
CCNA_00037,208950,190540,223480,195290,219760,170650
fur,2355900,2204200,2425100,2034200,2866500,2727800
CCNA_00440,1648900,1551400,1674200,1232600,1423300,1492700
pulD,25659,22846,19782,21199,23394,18075
CCNA_00552,334970,317690,499120,410340,526100,571230
kefB,63711,49528,25792,54069,54898,40582
CCNA_00227,64886,46889,49639,55725,71230,64114
CCNA_00260,98549,89716,169740,150770,178230,153490
CCNA_00282,2015000,1661900,1816700,1951700,2193900,1646900
vapC,37595,36078,40509,37664,45401,43525
CCNA_00710,80529,77383,100760,90328,102050,93929
CCNA_00769,441300,317950,164790,227280,245010,233020
phoB,136890,91151,63140,107390,127750,113900
sciP,726520,574860,664790,708140,926600,769520
fliN,241350,234210,362980,245540,289980,340940
CCNA_00337,89245,98987,85266,31070,37880,36068
CCNA_00614,67525,64674,56699,38360,42596,34054
CCNA_00368,693690,502390,291370,436170,491580,362220
CCNA_00058,554260,502790,514200,317060,336640,342390
CCNA_00629,41237,35121,29701,35395,37894,32226
CCNA_00131,301190,227060,231080,277720,353130,303640
CCNA_01030,136790,119320,95165,106660,135030,80191
CCNA_00164,114880,111990,68069,59675,75919,57815
CCNA_00687,327430,271430,338220,346860,449340,373180
CCNA_01070,147610,125930,97413,99877,106060,64552
CCNA_00770,74125,58688,73687,70532,89390,67622
CCNA_00524,47659,40135,53830,59847,66921,77874
CCNA_01138,198520,186330,255410,191480,216130,203970
CCNA_00443,336830,289280,333750,281020,320800,301020
CCNA_00929,110800,67803,46315,97820,133600,107980
CCNA_01207,59806,46200,27315,48463,52719,49962
CCNA_00494,151340,127590,205680,138990,160380,145530
CCNA_00190,236070,220290,245300,217920,238800,229550
fliO,237700,228970,131740,146200,156910,153130
CCNA_00777,23366,20761,13211,16859,20059,17780
CCNA_01026,1487400,1426400,2321500,1887100,2233000,2224400
spdR,1157500,894110,944630,1193700,1530900,1192300
chrR,120190,110060,164550,127720,151430,133420
CCNA_01051,9300.2,6540.3,7716.6,6860.5,5371.9,6274
CCNA_00825,123700,136790,197000,178250,212740,220960
CCNA_01071,88969,77712,66851,74256,79625,64969
putR,69941,53883,61474,48283,57025,42229
eipA,1143000,1105300,1265800,1503100,1709300,1663300
CCNA_00309,2947900,3051400,3340600,2927800,3739500,4534500
CCNA_00329,267050,239650,272710,218700,241910,233060
CCNA_00870,99813,89866,107600,90862,98607,104450
CCNA_00973,430420,440820,701900,489850,619570,830950
flgD,83937,64278,117410,69387,77615,66583
CCNA_01261,128360,118790,76290,53840,59372,58500
CCNA_00478,159480,158580,105960,116010,120840,111620
CCNA_01037,287380,229090,233220,215090,254950,261500
CCNA_01013,76249,64318,62021,100070,115790,106110
CCNA_01118,88217,70826,114300,76386,79801,79456
CCNA_01135,400260,298140,338430,295690,368060,330810
perB,390470,293210,371870,358920,398590,478220
sdpB,22051,13412,10062,10577,12626,10346
radA,46435,53446,23556,20254,21046,15372
CCNA_00612,88051,95088,153260,77646,108400,107290
CCNA_01159,734460,578120,567670,397330,438140,371140
CCNA_01267,57650,55468,86646,74669,79456,103200
CCNA_01516,263870,208970,226900,181500,212000,203410
CCNA_01216,165780,136300,133230,100240,121160,98224
CCNA_01299,73966,60862,79163,78626,82539,59696
CCNA_01334,67864,56382,42108,48286,55589,41343
CCNA_00811,92702,65453,59420,51104,56112,57969
nuoM,802010,704830,557790,518490,495600,421360
CCNA_01486,78107,81808,102090,94596,106040,119060
CCNA_00907,119910,129160,138730,134600,148790,150550
CCNA_01507,179900,142990,104680,125520,129800,84644
CCNA_01762,104010,82165,37115,85433,95583,60786
CCNA_02101,99273,92561,153130,119210,119180,131840
CCNA_02118,48504,41106,52997,62431,71880,67035
hdaA,105090,97445,142960,132630,151810,154530
ntrC,25435,16313,14270,23668,28028,20039
CCNA_01566,376450,308910,567640,364040,437450,522360
CCNA_01571,206050,170380,273730,140620,130120,176850
CCNA_01602,685450,504670,591000,1059500,1311400,1321200
CCNA_01014,63597,57961,74274,56966,70549,50442
dgrA,526560,438290,456280,470270,514320,475580
CCNA_01615,86290,75699,36280,39225,41035,41236
rsaA,7292900,7195800,7741800,27808,19275,19211
CCNA_01943,2246800,1861900,2325800,2103700,2516000,2156700
CCNA_01964,320330,241090,140980,199600,237530,257320
CCNA_02269,236090,192170,277640,249930,293290,242890
CCNA_01104,55740,42248,37789,39604,52576,53451
rlmE,120270,90366,89592,47606,55047,48160
CCNA_02295,595930,485140,569400,342580,435390,348170
CCNA_01143,1591900,1335100,1703600,1463600,1406900,1069300
CCNA_02034,37162,39374,55364,56446,67533,69699
CCNA_01217,206360,129950,71927,151940,162200,128900
CCNA_01855,251610,227840,277600,274580,286630,286360
CCNA_01919,510760,441630,639750,618660,729260,617040
CCNA_02464,4979400,4309100,5215000,4668000,5251600,4661700
iolR,244920,196270,176600,186400,216110,187420
CCNA_01811,267140,267790,420650,318120,386220,406010
CCNA_02474,312700,244380,298170,272450,326260,302240
CCNA_02479,17314,18537,28197,25719,27301,28204
CCNA_02193,90416,76888,97578,98489,94439,97628
CCNA_02494,131220,109770,86028,89114,109770,93247
parE,44604,42018,10343,20179,21959,19132
CCNA_02264,329370,323400,417850,398510,426790,546980
CCNA_01935,1001800,856030,1493300,1077800,1249700,1152100
CCNA_02014,131410,113940,83429,115940,128510,157150
CCNA_02167,184780,173550,255110,225520,261380,219600
CCNA_02415,663860,560550,617950,546900,633240,537740
CCNA_02173,110260,78784,51532,63107,80796,61902
CCNA_02088,449250,403690,746440,503570,580910,561000
CCNA_02215,33217,32302,40435,24136,26928,25542
CCNA_02774,388030,347470,418000,314480,401160,418320
CCNA_02548,54806,41783,34823,54065,62281,59118
CCNA_01704,516140,453730,488440,452870,623320,659130
CCNA_02216,271080,281400,462330,335690,404810,446250
CCNA_02226,59091,54150,96786,82464,90286,82304
CCNA_02858,53278,33214,46836,51133,55501,30489
CCNA_02367,81649,66908,64796,40438,49110,44300
zitP,293480,262660,242510,196840,220730,198820
CCNA_02341,132270,105920,141220,101800,107560,109170
CCNA_02444,281010,231500,281040,252970,297350,286620
CCNA_03033,49126,38709,43424,56521,70637,74032
CCNA_03063,538870,461600,373040,297710,326180,294620
CCNA_00548,213830,162250,180030,178470,213640,193560
CCNA_02538,104270,89711,115920,92319,102440,73899
CCNA_03169,4282100,3960300,3853200,4507600,3249300,4102400
CCNA_02899,90987,77859,109910,98322,113430,104020
CCNA_02636,250280,236650,416790,278200,341170,306780
CCNA_02600,366200,312820,399320,344160,376860,323800
flmE,51404,48069,77441,71229,77471,88325
CCNA_02720,60529,44744,40633,65101,75544,66198
CCNA_03436,56191,45899,21716,38136,41416,31275
CCNA_02848,1007600,770250,813010,530670,583960,355340
CCNA_02273,1898900,1691800,3192100,2180400,2386000,1865100
CCNA_02927,46564,35884,43453,42021,49071,43193
CCNA_02972,956940,806480,1132600,840160,983510,703760
CCNA_02982,166670,150460,169920,129910,141760,134190
CCNA_03279,175710,140450,66048,192180,228810,208520
zapE,52682,35043,30801,39591,45304,34296
CCNA_03674,3011300,2548000,2464400,2354200,2915500,3117700
CCNA_03398,180180,156970,218740,208830,421950,266690
CCNA_03056,406440,366040,719860,548130,672390,795990
CCNA_02488,337970,318850,473170,317130,414550,381110
CCNA_03066,40604,32428,31676,33947,39881,32099
CCNA_03493,67759,58562,99038,75439,87772,92531
stpA,53973,43991,27917,48435,54441,53536
CCNA_03218,106420,80532,70632,73519,77057,58044
CCNA_03811,74307,48192,38992,60533,73521,56862
CCNA_03861,172430,147960,261340,197520,210650,230590
CCNA_02736,925280,741130,1195000,1217500,1350200,1147700
tolA,101410,90482,78072,53786,52929,59766
queG,32641,25892,41374,27669,31003,29952
CCNA_03494,99337,60874,101210,74998,81180,57188
CCNA_03796,1039800,805290,822550,637330,710040,441930
CCNA_02979,41555,44342,59139,45510,53723,49798
CCNA_03653,3467900,3054500,5791200,3530800,4239800,4084200
CCNA_03022,241710,191970,152910,139100,157490,151700
CCNA_03715,1279300,1235000,1356300,1110900,1382200,1329600
CCNA_03733,488250,375060,605280,382460,528040,378350
CCNA_03082,612400,455310,483540,594890,713000,566630
CCNA_03672,9647300,8358600,17069000,13689000,15145000,13123000
CCNA_03152,96864,80180,96432,101200,118500,112330
ccmA,73651,65171,54650,56054,61686,45713
CCNA_03788,583890,474300,501550,446520,489630,400810
CCNA_03538,76752,63295,52574,82574,82061,85204
CCNA_03617,2914600,2516300,2746400,3042900,3631100,3774700
murU,583690,535370,870280,633080,644410,740500
CCNA_03678,97733,79307,86243,82629,88029,76004
CCNA_03730,37275,36894,57523,39918,49502,64239
CCNA_03897,5812800,3855400,5904300,3681100,3923200,2435100
CCNA_03941,496420,366760,472830,405700,462580,364820
bioF,218260,163060,87652,215690,256440,253650
coaD,444930,314310,277380,534980,673540,553430
hisE,1092500,940720,1130300,764790,796470,792070
rsmG,298740,218770,207830,235460,274350,226260
ndk,4915000,3892500,8809000,3761400,4466300,3813900
aroQ,541520,568010,485250,472530,531750,542150
nuoB,4053500,3547900,2779700,2406100,2596100,2133500
rpsT,5721500,4866100,3015800,3493000,3349900,3254900
msrB,239570,217290,400180,225310,289720,309040
truA,146540,128960,127630,114250,121250,106650
plsY,697430,534080,206660,359160,394640,307320
hisI,209540,204650,313180,229140,271050,269750
lgt,548190,406730,234470,380340,408990,311120
dksA,4146800,3284500,4448500,4912300,6208000,5353800
rpmB,4305300,3535000,2399700,2964600,3098600,2445000
dhmA,88251,86202,132450,102770,111780,108820
rpsL,5059600,4207300,2641300,3141800,3119200,2607300
ruvB,34045,70384,32654,49527,84211,274390
rplF,3474000,3234400,2126200,2794000,3102600,2323600
rplR,5424900,4191800,3187200,3421400,3483200,2818800
CCNA_03506,225120,188230,294800,285480,339170,330740
CCNA_00218,692450,589050,550330,466590,553070,580760
mopB,37014,32599,38334,35025,42021,39972
CCNA_00394,133880,129070,196670,172150,203210,228540
CCNA_00435,1008800,1081000,612210,622150,730940,1153000
hfsJ,76454,49369,33019,43143,48085,37343
CCNA_00557,108300,85299,80087,96699,105480,102860
CCNA_00596,55560,39200,26626,29448,34869,22917
CCNA_00623,17607,21083,16493,18346,20501,20577
CCNA_00331,43457,37867,36976,30993,39491,40543
CCNA_00691,661830,606890,940550,673960,736450,704740
CCNA_00390,58274,71254,24461,40900,49571,149980
CCNA_00410,95212,80105,85074,69949,81156,84361
CCNA_00775,79621,63578,105530,103030,106500,113310
CCNA_00426,23668,19010,23973,18856,23763,17142
cheYI,2023400,1704800,2620100,1673000,1869400,2152800
CCNA_00928,38175,29038,25432,37904,45006,47550
mucR1,1717700,1309800,1189500,825050,1065000,1105100
CCNA_00432,42428,36751,54842,38266,45481,39100
CCNA_00216,276560,245180,395080,419750,496030,514940
CCNA_00223,116050,100570,119370,91469,102700,109760
cheU,56713,55895,78918,66118,79240,86063
CCNA_01080,128060,116020,130640,144950,164210,145620
CCNA_00510,114510,106640,188540,126860,158820,154530
rplU,13301000,11831000,7652300,8527900,8974200,6744200
CCNA_00412,72835,62782,73154,97327,120500,103080
cleA,252970,209950,367590,267850,317800,314680
CCNA_00924,97700,75075,97919,89993,112180,80725
CCNA_00501,253830,223050,190930,167450,183440,162670
glnC,1093900,977360,1134500,983040,1144100,1158700
CCNA_00170,15277,48810,12835,14154,18897,140010
CCNA_01277,36960,28937,38250,23571,26006,20916
CCNA_00605,1109200,1081600,701310,711300,654970,595810
CCNA_00616,230500,165670,213520,159310,176610,133940
CCNA_00207,2333600,2385500,3242600,4592700,5248600,5205200
CCNA_01016,79909,72893,70592,88981,95526,77450
CCNA_01372,132350,133040,218220,148580,187170,216340
CCNA_00276,33080,29206,38062,38556,37134,29690
CCNA_01392,186700,127360,132150,175470,191700,175280
CCNA_01076,86162,73488,77006,34215,36575,39714
CCNA_00857,494880,426290,375090,299200,319730,235270
CCNA_00895,283590,229900,257040,528680,589720,530610
CCNA_00345,45045,43326,49519,33492,32678,33249
CCNA_01157,38181,35377,11985,40325,43507,35733
CCNA_01163,455510,498530,426120,147030,156800,1099800
CCNA_00826,34513,28194,52309,48554,60734,46005
CCNA_01198,105630,70534,56505,89747,97372,94251
CCNA_00906,73640,83057,52530,66566,63460,150120
CCNA_01505,255890,237730,387550,322180,407180,421030
CCNA_00962,45544,44495,51962,43120,52308,43232
CCNA_01229,27666,16221,12954,36376,36175,29503
CCNA_01235,86684,67070,64772,57426,72746,64663
CCNA_01271,84948,65284,83320,61454,73955,59575
CCNA_00497,62136,40939,22390,39666,43007,33584
CCNA_01600,44780,40770,47238,38360,48360,38955
CCNA_01605,28244,22040,32267,32990,33911,26939
CCNA_01038,348710,257020,503980,492570,511460,547160
CCNA_01058,99107,78267,88813,21176,19278,22473
CCNA_01407,104660,74666,73047,78556,92388,83158
CCNA_01108,23411,19465,15457,18045,20609,17899
sufE,321240,291930,515590,284100,328440,398490
CCNA_01154,336720,286880,276910,353640,374130,281580
CCNA_01897,45041,29527,52114,48256,54794,40012
CCNA_00742,138380,102400,186190,130330,136630,118000
CCNA_00774,599070,502310,577460,722390,863970,698440
CCNA_01394,71406,50144,56631,54359,60635,49963
fixL,77781,52803,24185,62760,65147,56561
iolB,190270,160160,308300,195240,223500,237200
rplM,863500,711940,440130,638540,691500,510210
popZ,2170000,1748500,1663200,1303800,1391800,1304800
CCNA_01385,88459,65695,61666,53959,67575,67930
CCNA_02011,1557200,1535300,2352100,1713000,2130500,2631700
CCNA_01487,97108,79200,79170,78704,96664,103370
CCNA_01502,167280,117150,69337,93267,98422,92160
cobQ,782140,602750,414920,587840,696520,629010
CCNA_01650,1430400,1574200,1804500,1154500,1331400,1280700
CCNA_01657,325470,269180,311440,268560,321470,282980
greB,157940,145420,210300,119560,140040,148130
CCNA_01137,57536,47958,69698,70815,74825,74268
CCNA_02068,119230,103490,153590,105170,114220,96563
CCNA_01764,194770,177130,171220,162050,190500,188530
CCNA_02404,121000,100650,58595,71885,77724,57709
CCNA_01899,70720,64817,49697,63387,59360,64288
CCNA_01934,400930,353140,605050,418420,489700,544340
pbpY,28332,28235,16087,16041,21014,17372
CCNA_01376,183360,121430,167500,262140,319690,233160
CCNA_02489,313060,282900,402250,309900,368520,326630
CCNA_01978,62149,62325,75938,69468,74544,71330
CCNA_01386,516570,401410,451280,264170,261700,244570
CCNA_02219,194720,168160,174430,100970,118550,120770
CCNA_02249,136650,109820,167910,123210,142490,113190
CCNA_01462,68674,56154,46298,34032,40821,22513
CCNA_02578,30843,26092,31991,26832,32086,28317
amiC,30139,23952,29834,16269,19255,15985
CCNA_02115,19470,19878,24113,13934,17053,17264
flgI,18065,14758,22068,23497,26692,18774
CCNA_01568,270150,241990,204720,158250,157790,155590
CCNA_02099,42844,43515,37584,31980,35875,30378
malK,56528,44279,46836,53450,56093,43903
rodA,66586,48794,19876,42857,51397,42432
spoT,15079,15289,7181,9731.4,10436,5471
CCNA_02138,77811,65873,60667,34781,37438,40734
hfsH,184050,154350,190610,117080,132390,125860
CCNA_02157,281930,233050,246490,168650,196910,177720
CCNA_02831,352890,288600,176960,248100,276030,263170
CCNA_02206,767830,690570,862080,828300,1039200,972580
CCNA_02873,90134,87647,144900,112590,121170,130680
CCNA_02936,529860,357530,343690,923380,1162700,1114800
CCNA_02353,545240,515660,679570,521860,545240,506820
kynA,40406,42532,52205,20126,21002,23031
CCNA_02358,445510,445980,729990,333270,383130,500270
CCNA_03008,620840,694510,907440,872680,983710,1023600
infA,3449700,2946800,3333200,2177800,2665700,2951500
CCNA_01911,48015,45054,81867,73383,90418,83204
CCNA_02434,161460,140810,167920,128690,164570,153480
CCNA_01916,1208600,1181100,1102800,635240,697350,564080
CCNA_02491,61532,58556,95542,60601,71393,63634
CCNA_02785,38196,38860,50353,58528,69464,73679
CCNA_02542,230070,222180,286420,288070,323930,300020
CCNA_02847,240000,190060,220900,178650,208440,174540
CCNA_02592,146520,133700,198930,177230,207100,221030
CCNA_02976,405330,330540,386890,405280,457800,418990
CCNA_03272,15233,14705,6646.5,14364,16666,16106
cpaD,69997,53665,57954,59271,62863,65635
uup,32776,38625,22543,19233,23321,24555
CCNA_02698,519660,476420,836220,543900,671280,604370
CCNA_03325,774210,826890,741910,714250,935390,1284100
CCNA_02724,20798,16634,28970,18486,20682,19961
CCNA_02703,486710,450500,800920,544700,619170,674060
CCNA_03069,8095,7926.5,9832.7,8999.6,11314,8087.3
CCNA_02729,373920,294230,281330,219510,230200,178660
CCNA_02735,114960,114500,199170,181450,199250,230630
CCNA_03095,13813,14417,7353.8,7904.9,7010.5,6501.1
CCNA_02201,229330,994990,130090,370690,520970,1816800
CCNA_03397,276830,249170,408020,303970,395600,367960
CCNA_02354,50189,39504,35073,29978,35259,33944
CCNA_03020,65223,55632,102920,65330,67408,38630
CCNA_03030,8671500,8972700,8791800,6176700,7935600,10088000
CCNA_02436,876340,704810,1042800,670770,801930,632380
CCNA_03026,66928,47548,43837,56487,66331,63369
CCNA_02463,170590,169370,251740,255590,296160,295870
CCNA_03381,32108,33423,42689,26918,29919,24846
CCNA_03669,50327,43751,51139,74499,73914,71318
CCNA_03713,46511,37775,24897,32440,33584,29422
rsfS,1130100,1038800,874480,1158400,1317300,1140400
CCNA_03213,681350,577020,968570,690740,788080,778420
CCNA_03572,115900,97079,172680,108750,126380,102640
CCNA_03597,596470,522940,725860,616110,677680,684750
fliX,78323,74609,82563,55070,81119,107740
CCNA_02679,252360,198020,201090,166190,166860,141780
CCNA_03647,63937,52126,41646,57367,68808,58612
CCNA_03665,19621,18034,7014.3,13135,13922,10101
CCNA_03670,62974,57487,61437,60624,67649,66128
CCNA_02689,150030,107770,144790,148350,168990,184410
zapA,777620,674580,756320,673790,763300,1050500
CCNA_03287,28557,20503,22122,20376,26908,28467
ubiX,144790,136940,104080,100860,102760,82606
rcdA,40549,26530,49172,19908,16754,24801
CCNA_03363,429360,391980,425400,382010,403480,429700
CCNA_02815,52618,42550,48407,33839,42435,42130
CCNA_03536,22521,22302,35732,24466,30001,33902
CCNA_03873,824330,776720,538440,613990,722350,570590
coxA,353500,569180,224820,227260,370640,675770
CCNA_02957,277670,236710,289220,236330,280420,258760
CCNA_03579,438820,327330,372240,404080,478940,357160
CCNA_03705,4789300,4032000,4945200,3575200,4002600,4061100
CCNA_03604,519790,378340,474050,352520,453280,448430
CCNA_03057,53740,51863,81135,58096,68879,75173
CCNA_03112,186820,155280,57692,135570,137120,118280
CCNA_03667,746560,331970,747100,363360,395290,365410
CCNA_03716,148580,107800,136340,115060,114860,47138
CCNA_03188,48063,50025,84706,97895,130170,119880
hslV,327300,315510,249380,303260,295930,244860
CCNA_03772,27495,23524,38603,24572,32601,32045
CCNA_03266,85909,52271,72717,61256,73286,46420
CCNA_03864,2989800,2675600,2928400,2351100,2728700,2348000
CCNA_03364,24887,19732,38382,38317,47016,47303
CCNA_03486,131650,108400,116920,104920,120900,108010
CCNA_03595,56349,64619,48945,46650,65127,57239
CCNA_03683,232810,161480,217460,273940,343260,318940
CCNA_03688,76145,59885,63765,56073,64989,55044
CCNA_03717,1268800,1099300,806850,876990,930950,776080
CCNA_03761,838320,781330,567280,573730,586250,518440
CCNA_03773,117460,137190,121170,60300,63793,60873
ldtX,26355,27818,36583,24708,36456,40863
CCNA_03896,1441500,1101400,1374900,576140,641020,461520
CCNA_03901,239850,219590,243660,217430,250770,230080
CCNA_03938,6814000,5585200,5278600,4842600,5591300,5374100
CCNA_03949,110030,83592,111940,74731,82056,58642
acpP,7352400,7160600,12286000,6098100,7573200,8368900
dut,1650400,1616100,2620000,1953900,2221400,2253900
hfq,412540,352780,247150,292990,264600,256880
aat,86490,79336,80210,86731,101530,92397
rpsO,7529400,6446000,4107900,4538700,4369000,3010500
hup,5853000,4281800,5275100,3987100,4515200,3950500
surE,272300,243670,207690,274210,371070,366080
tatA,2587200,1894400,2300700,1866700,1993600,1366100
CCNA_00269,1505600,1232100,1987600,1613300,1670400,1576400
def,816340,867820,1430100,949410,1108300,1194000
cutC,37043,32357,65001,50401,66295,64745
gatC,2128800,1935400,2552600,2019100,2211400,1912000
pth,77923,53913,63467,40316,49732,47193
htpX,167830,156690,141160,121180,136010,133640
mraZ,123110,109510,75817,119330,109920,89389
skgA,38395,28561,32176,47365,59505,41993
CCNA_00833,270310,250240,456700,334410,409620,351070
ccmE,605710,598080,538020,494280,523080,580440
rutB,56013,60230,82735,125910,157930,146020
rplT,4479300,4181700,2349800,3501000,3687100,3010500
infC,1312300,1469500,1265000,368160,445970,463740
ruvA,233090,219790,196190,234630,249970,250780
smpB,521250,450250,396010,294130,324160,297850
CCNA_01273,66949,56066,56369,50217,75936,63535
rplW,11126000,9548100,6935400,7118000,7874100,4235200
rplX,7963700,6318400,4441500,5298900,5758800,3332800
rpmD,6599900,5247200,3963400,4348700,4508400,3572300
rpsK,526650,603380,449980,508050,575580,395790
glyQ,1932100,1767500,1492400,1195400,1277500,1416300
ctaA,381540,284650,204620,344630,384170,331700
rppH,43726,34747,62026,46189,45701,52158
ihfB,1554700,1269900,1080000,1125900,1420000,1683300
mutS,30092,39589,12012,20115,21166,47723
CCNA_00110,144620,99317,136120,137610,180350,198090
CCNA_00121,23057,27944,26204,17501,16281,14302
CCNA_00181,33708,26985,24592,24634,27307,18311
CCNA_00186,69091,67284,55080,62104,63925,51966
trmD,88601,65099,86947,60529,71958,57971
CCNA_00248,66956,51647,30845,45787,53163,42844
dnaQ,52033,47214,34859,45458,52769,39758
CCNA_00030,51723,40193,39259,48379,53310,48809
CCNA_00038,48074,40944,47304,45117,57903,46370
CCNA_00425,55427,37619,48082,64567,74136,56045
CCNA_00249,380400,277420,171930,230010,295850,289690
CCNA_00306,24103,19752,16214,17987,21279,17192
CCNA_00039,601250,501260,559890,643310,728470,664800
CCNA_00748,236050,195090,327700,174500,221700,240330
CCNA_00421,239070,249290,307040,255640,319780,300770
CCNA_00828,5776,7893,13818,10351,11079,15658
CCNA_00872,1162100,1003600,1825200,1176800,1328100,1524100
CCNA_00499,134240,110940,133440,112930,142640,102370
CCNA_00908,77251,62528,68616,53723,62438,50766
CCNA_00558,91133,76223,46884,66233,84774,73280
CCNA_00080,485190,171760,632770,299140,281280,61577
CCNA_00391,113660,102090,112280,83174,88575,68620
CCNA_00997,27008,19614,12632,26013,31772,25927
fliP,192110,155620,120370,110420,106730,75897
shkA,238760,187310,181400,282820,301680,167650
CCNA_00670,173300,152020,78745,151530,167970,240210
CCNA_00698,184790,155600,199240,163010,214650,179760
CCNA_00246,153020,125390,137100,103340,126920,135460
CCNA_00760,26226,17912,4538.7,14517,17918,13046
CCNA_00486,14722,39240,14372,17739,20162,69633
CCNA_00262,52643,39607,34013,84681,105530,114100
CCNA_00493,115920,74478,38556,81328,89677,64773
motA,183990,134330,71986,172000,205920,168510
cydD,17156,13178,9933,12499,12474,10788
CCNA_00818,21019,19654,25951,39860,46789,52289
CCNA_00538,16853,14838,10647,15036,12815,10203
CCNA_01144,111880,78384,92273,92326,126110,118120
CCNA_01151,6443.4,2391.9,2104.4,5628.1,5931.6,5332.5
CCNA_00374,486820,419380,520110,339030,364440,396590
CCNA_00554,73665,67745,69195,60173,71213,57194
CCNA_01156,77994,26998,24041,103430,111930,96298
sixA,70589,51750,52683,72059,91570,83257
CCNA_00407,136640,115020,148980,167590,193640,215990
CCNA_00423,35855,32650,31548,35924,41801,37412
CCNA_00071,25540,24731,33392,28673,29358,29229
CCNA_00625,160070,134630,212700,153540,146900,150780
nhaA,61858,60640,45874,43554,49123,52306
CCNA_00092,247360,224950,252130,175370,205830,204680
CCNA_00114,69650,68160,68215,64154,71425,82681
CCNA_00967,16751,10145,5556.1,11255,14082,11597
CCNA_00175,295850,271880,270390,234390,253850,255640
CCNA_00185,23472,20763,25870,20219,21309,21834
cerH,65806,60814,35972,51050,53040,42429
CCNA_01031,27217,21616,10762,15769,16668,14252
CCNA_00263,292010,262660,293280,1028100,1193900,1119400
CCNA_01424,49316,34356,34700,31056,36919,29193
CCNA_01430,322550,254950,424070,276780,302260,276140
CCNA_00751,94106,81134,44812,75506,77095,62968
CCNA_00890,117500,94062,75018,73885,75542,71417
CCNA_01478,23608,19857,18120,17994,18487,19704
CCNA_00880,44528,36382,30209,27833,30776,25547
CCNA_00901,219550,198600,239640,189110,239210,225790
fljL,627690,539370,644150,556100,657850,444300
CCNA_00419,156860,142170,155650,229510,261910,222970
CCNA_00963,259130,207960,284100,440150,493330,448120
CCNA_01047,6020,6171.9,7106.2,3700.9,5434,6553.9
CCNA_00527,98599,92749,113320,76767,85709,75566
CCNA_01052,12732,8694.1,10743,14090,17472,16786
CCNA_01623,132040,111930,208700,138290,168880,180060
CCNA_01721,144040,118730,110220,102910,118250,115090
CCNA_01418,388980,274900,242220,194010,248460,211190
CCNA_01215,207610,203200,351640,211250,269100,228940
CCNA_01506,297260,252200,188760,209850,228570,188230
CCNA_01836,17418,10755,10073,12190,14734,14496
CCNA_01221,1684300,1543400,2698700,1435900,1800800,1696800
CCNA_00729,56531,45392,51527,37448,53715,39142
CCNA_01912,128140,134210,197360,156730,175960,229260
fdhD,14497,12683,12365,18398,19778,19413
CCNA_01942,98085,81914,73440,87535,104200,91517
CCNA_01963,116040,94025,96633,57259,73797,61288
CCNA_00854,29699,31159,32180,34950,40751,51473
xylA,97577,91597,81738,62619,60031,56103
CCNA_01480,151150,112340,123900,95082,83494,77349
CCNA_02067,1565500,1376300,1310200,1034100,1208300,980590
ribH,1806500,1634000,2350800,2276100,2692100,2322800
