Gene Name,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
CCNA_00585,93323,78800,94544,114040,138990,121710
CCNA_01439,252630,239670,288500,211910,246850,235050
CCNA_01794,56555,49208,46322,54297,70570,64960
CCNA_01831,145520,135270,200390,164600,181820,163890
CCNA_00680,58511,47803,68880,69983,81874,77383
CCNA_01226,287540,267860,202890,163760,175110,145590
CCNA_01625,191450,160990,181660,149760,179670,160600
CCNA_01375,698440,667490,1188800,920600,1137700,1220400
CCNA_00881,592290,523030,436320,450710,487940,420950
CCNA_01808,47345,40730,35656,32407,36646,38544
CCNA_01864,481690,373490,403090,408670,463810,384390
rbsK,1354200,1223700,2265500,1457100,1812400,1766100
CCNA_01629,1722800,1543100,897640,1138000,1208400,940540
lipB,290210,248870,332180,353040,389850,349390
CCNA_02108,82211,71999,78983,74452,75172,76205
CCNA_01909,76219,56201,67286,84295,97399,82759
CCNA_01841,56291,68545,47628,98128,109770,155340
CCNA_02203,1997400,1792000,1925000,1802300,1818300,1431200
CCNA_01429,1994800,1718100,1903100,1645700,1951800,2099600
CCNA_01960,7309800,6191600,6991100,6269100,6989000,6201300
CCNA_02339,1275900,1060900,1151900,1430700,1614300,1287400
CCNA_01531,927450,850370,1442800,1242800,1409200,1463200
CCNA_02443,850880,778010,851880,927290,1123600,1001800
spmX,298410,282520,216010,247120,271230,270780
CCNA_02190,199090,186530,103880,144420,130940,122360
CCNA_01714,645120,611030,523300,508190,666590,891830
CCNA_02256,140650,129370,95383,118500,132910,100920
CCNA_01786,235680,142460,102240,214340,251380,175710
CCNA_02964,2044500,2096400,3098900,2337300,2859100,2794600
CCNA_02744,142990,115310,134460,114040,140030,131850
CCNA_02501,27724,22901,7158.5,22401,25722,22415
CCNA_02516,1134600,756450,905670,715990,797150,426080
CCNA_01947,1298700,1051300,1165200,836970,964860,890930
mmpA,575550,469620,385170,373260,389960,279970
CCNA_02853,148460,123980,91678,97825,105430,96143
CCNA_03283,202310,184410,222590,216940,249930,186600
CCNA_02153,185960,134950,240880,236760,285090,282710
CCNA_02709,1029300,875090,1615000,1094700,1496300,1351800
tolQ,1742300,1513200,1057100,945830,1013100,730350
CCNA_03446,114480,99182,94390,90156,125320,127940
CCNA_02854,1031200,754990,852170,936420,1042100,995880
CCNA_02889,1682800,1739700,1982200,1504200,1412500,1494100
CCNA_02881,66745,65860,89064,80519,86096,80648
CCNA_02910,322040,255110,187790,274440,295200,228470
CCNA_02912,149350,98976,81609,150940,199540,185430
CCNA_02946,126900,105670,197060,146630,187350,206580
CCNA_03586,97057,80660,66967,100980,117750,86508
CCNA_03331,811820,678860,995160,913040,1080900,1215800
trpF,352590,275300,295730,309400,357570,284080
CCNA_03031,448900,380140,354340,356640,395030,333260
cysQ,648170,610180,908480,657790,746550,615360
CCNA_03609,3719100,3495100,3380400,7430600,8212100,9970700
CCNA_02658,3279000,2555700,2581500,2330100,2637100,2572900
CCNA_03271,102720,101280,99543,407340,427000,382060
CCNA_03281,13811000,11810000,12068000,5358500,6523300,5468100
CCNA_03328,189730,177130,321950,259280,294940,247770
CCNA_03748,345530,334640,606140,431380,521250,568840
CCNA_03409,440450,382080,377840,384460,449980,424730
CCNA_03769,3536300,2606500,2560800,3619500,4000000,3964100
CCNA_03421,112410,97180,79682,105190,116970,120060
CCNA_03593,102410,94502,148240,108370,126430,129390
CCNA_03610,406840,369280,436010,484070,565690,522520
CCNA_03012,10254000,8636900,10699000,7167800,8294700,7515900
fzlA,191860,134820,129130,159030,186480,184100
CCNA_03277,430090,364510,394290,391290,446690,438770
proA,457920,381930,291330,533430,610480,539430
CCNA_03922,147980,105920,48267,133630,156670,99804
secB,7545200,6698000,8186100,5554800,6122800,5685700
ispDF,658700,579370,700200,671890,855940,771970
lpxA,822390,934970,552620,713330,770890,1500900
dnaA,82643,55848,38851,65450,76995,52165
trmB,852660,550470,639380,809160,915040,820930
tatB,507350,478960,384000,157690,161670,157950
CCNA_00059,2624300,2385900,3848000,3211500,3644800,3823900
rph,3066600,3033800,2643400,1960900,2177600,2321900
recF,111490,74701,37126,108060,127570,121620
dapE,658030,596090,1026000,768130,887660,900870
lpxK,243770,183710,176710,176540,193290,170630
cheD,1146400,920780,1083600,816110,971490,874770
CCNA_02521,401940,318110,340050,317240,351340,327050
rplJ,11060000,9726700,6063000,7151700,7336400,5106900
groES,20614000,16556000,27981000,19549000,23570000,20821000
efp,6958000,5943500,9558600,5739300,6632900,5560700
CCNA_03352,1282900,1071600,1919800,1356500,1785200,1622600
rplN,4352900,3447000,2164900,3164800,3088700,1908700
rpsH,9372500,8655300,5402100,5847500,6360600,5522500
rplQ,7265400,5924200,3765800,5550100,5798100,3496700
ispE,162680,135420,181650,178270,208210,233040
CCNA_03496,529900,367070,240830,503530,588160,504790
atpH,2318000,4780900,2313200,738470,834500,1066500
uxaC,214410,191110,166320,155640,171630,160220
rpoZ,2074200,1819800,1117600,1542700,1673100,1523400
lnt,114420,110290,92922,90878,97454,72095
ppa,6425900,5849100,5964700,4079000,4499200,4406200
corC,771470,631570,552540,588430,643360,596480
mviN,349110,290670,230950,205120,221390,167730
CCNA_00415,139630,96628,98163,89191,101170,81066
CCNA_00803,1105700,862530,997070,1074200,1252600,1277200
CCNA_00221,812310,812270,918520,640370,759110,654280
xylX,114120,95803,122470,87519,99323,84210
trmL,404930,336850,456340,378090,416650,447700
CCNA_00301,135830,130760,209790,162920,209820,222660
CCNA_00592,329680,301490,319520,265010,316470,286190
CCNA_00363,903080,624950,784300,792760,891370,708280
CCNA_00124,3757800,3058800,3591300,5120500,5890000,4156300
CCNA_00234,209480,201700,292290,295620,338540,301920
CCNA_00369,180530,162960,109180,116630,142030,127150
CCNA_01172,1597300,1627400,927860,1134100,1342700,1650500
CCNA_01182,275990,250550,465360,361460,375610,347500
CCNA_00909,539170,442220,507680,413380,474430,419360
CCNA_01213,348050,280000,227440,224940,233730,193060
CCNA_00934,193320,182540,251090,146930,143060,119110
CCNA_00939,299590,174460,140290,236020,282170,243730
CCNA_00519,1462200,1290300,1497900,1347600,1594100,1549700
CCNA_00727,1126500,991760,1608900,1249800,1291400,1405600
mucR2,4935000,4146600,3989300,2518600,3002000,2531400
CCNA_00661,370950,273690,305800,264980,328270,311670
phoR,114480,80261,35968,103160,111200,86982
bamF,2405700,1900900,1920100,1874700,2086800,2168500
tipR,294940,253690,270820,271950,317420,328630
CCNA_00815,225840,204740,249100,197890,230000,208870
CCNA_00843,60982,62759,58591,46920,59982,54111
CCNA_00920,197040,191540,207810,126980,153400,145020
CCNA_00930,497900,446080,696230,712290,951850,900120
CCNA_01193,34248,29026,55161,45301,56552,47305
CCNA_01494,35056,27699,15714,25083,35236,25862
CCNA_01521,869570,762950,864520,812340,927570,874420
cheE,972080,848880,1211500,977150,1222800,1091300
CCNA_01303,2362000,2076800,2438500,2107600,2436500,2231700
secY,1010600,1307400,530960,222420,230700,270490
